model,cv_MAE_log,cv_RMSE_log,cv_R2,cv_MAE_€/m²,fit_time_sec
ExtraTrees_OHE,0.18204155066991623,0.32005116361400165,0.501853134152768,1648.6802569423307,330.56202936172485
RandomForest_OHE,0.19733136582029415,0.3278724798034592,0.47722707232825884,1778.4212893523604,323.72160243988037
HGB_TargetEnc (YOURS),0.2416573359094246,0.3938326088601368,0.24595352353033384,2183.0771621965423,5.13850474357605
HGB_OHE,0.2426665121878886,0.3954379125458811,0.23981540793918246,2190.529764697795,11.494632959365845
Ridge_OHE,0.2586775572284044,0.42863929958774366,0.10685816747552072,2333.7359107799457,3.680612564086914
Baseline_Mean,0.28271349654038,0.4535838130739444,-7.048507636606694e-05,2592.419454951702,5.170868158340454
