,corr_with_target
Code type local,-0.24262669192770156
Nombre pieces principales,0.11801903569955158
Code postal,-0.11479349974889717
Nombre de lots,0.05317301805507691
Surface reelle bati,-0.050359838268748625
year,2.2739695258541725e-13
